shared_eligible_queries,both_positive_count,both_positive_mean_qa_f1,both_positive_qa_positive_rate,both_positive_qa_strong_rate,lhs_only_count,lhs_only_mean_qa_f1,lhs_only_qa_positive_rate,lhs_only_qa_strong_rate,rhs_only_count,rhs_only_mean_qa_f1,rhs_only_qa_positive_rate,rhs_only_qa_strong_rate,both_negative_count,both_negative_mean_qa_f1,both_negative_qa_positive_rate,both_negative_qa_strong_rate,rhs_minus_lhs_mean_qa_f1,rhs_minus_lhs_qa_positive_rate,rhs_minus_lhs_qa_strong_rate,dataset,run_id,system_label,parser_max_facts,lhs_mode,rhs_mode,lhs_label,rhs_label,metric_key,metric_label
899,0,,,,18,0.17342430149447693,0.3333333333333333,0.16666666666666666,190,0.17485382348439996,0.5052631578947369,0.13157894736842105,691,0.11827920424027542,0.3719247467438495,0.07814761215629522,0.0014295219899230216,0.17192982456140354,-0.03508771929824561,LoCoMo,20260314T052424Z_locomo_ollama_mxbai_full,ollama / mxbai-embed-large,5,raw_turn,canonical,Raw,Canonical,top1,Top1
899,730,0.1417280256542522,0.4246575342465753,0.10273972602739725,64,0.13891340602229726,0.390625,0.0625,0,,,,105,0.05450359338986454,0.22857142857142856,0.02857142857142857,,,,LoCoMo,20260314T052424Z_locomo_ollama_mxbai_full,ollama / mxbai-embed-large,5,source_family,canonical,Source,Canonical,hit_at_k,Hit@K
899,190,0.17485382348439996,0.5052631578947369,0.13157894736842105,18,0.17342430149447693,0.3333333333333333,0.16666666666666666,0,,,,691,0.11827920424027542,0.3719247467438495,0.07814761215629522,,,,LoCoMo,20260314T052424Z_locomo_ollama_mxbai_full,ollama / mxbai-embed-large,5,source_family,canonical,Source,Canonical,top1,Top1
470,281,0.05621392745750799,0.30604982206405695,0.02491103202846975,0,,,,50,0.08482104193600386,0.54,0.0,139,0.030414587224855773,0.17266187050359713,0.02158273381294964,,,,LongMemEval-S,20260313T172942Z_longmemeval_s_lexical_full,lexical / all-minilm,5,raw_turn,source_family,Raw,Source,hit_at_k,Hit@K
470,0,,,,0,,,,113,0.06846773030867767,0.3185840707964602,0.017699115044247787,357,0.04629675017292525,0.28291316526610644,0.022408963585434174,,,,LongMemEval-S,20260313T172942Z_longmemeval_s_lexical_full,lexical / all-minilm,5,raw_turn,source_family,Raw,Source,top1,Top1
332,209,0.05908712936093966,0.2727272727272727,0.03349282296650718,18,0.03656395891690009,0.3333333333333333,0.0,50,0.08482104193600386,0.54,0.0,55,0.02261521870382244,0.16363636363636364,0.0,0.048257083019103766,0.20666666666666672,0.0,LongMemEval-S,20260313T172942Z_longmemeval_s_lexical_full,lexical / all-minilm,5,raw_turn,canonical,Raw,Canonical,hit_at_k,Hit@K
332,0,,,,0,,,,113,0.06846773030867767,0.3185840707964602,0.017699115044247787,219,0.049111401358769145,0.2876712328767123,0.0228310502283105,,,,LongMemEval-S,20260313T172942Z_longmemeval_s_lexical_full,lexical / all-minilm,5,raw_turn,canonical,Raw,Canonical,top1,Top1
332,259,0.06405506615149259,0.32432432432432434,0.02702702702702703,18,0.03656395891690009,0.3333333333333333,0.0,0,,,,55,0.02261521870382244,0.16363636363636364,0.0,,,,LongMemEval-S,20260313T172942Z_longmemeval_s_lexical_full,lexical / all-minilm,5,source_family,canonical,Source,Canonical,hit_at_k,Hit@K
332,113,0.06846773030867767,0.3185840707964602,0.017699115044247787,0,,,,0,,,,219,0.049111401358769145,0.2876712328767123,0.0228310502283105,,,,LongMemEval-S,20260313T172942Z_longmemeval_s_lexical_full,lexical / all-minilm,5,source_family,canonical,Source,Canonical,top1,Top1
470,281,0.0650247976540528,0.3274021352313167,0.028469750889679714,0,,,,70,0.05784267584893448,0.45714285714285713,0.0,119,0.032819052212042205,0.15126050420168066,0.03361344537815126,,,,LongMemEval-S,20260313T185031Z_longmemeval_s_ollama_full_guarded_w8_np16,ollama / all-minilm,5,raw_turn,source_family,Raw,Source,hit_at_k,Hit@K
470,0,,,,0,,,,129,0.06447093619407647,0.29457364341085274,0.023255813953488372,341,0.052521031948420546,0.30498533724340177,0.026392961876832845,,,,LongMemEval-S,20260313T185031Z_longmemeval_s_ollama_full_guarded_w8_np16,ollama / all-minilm,5,raw_turn,source_family,Raw,Source,top1,Top1
